City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Tekkali,IN,2021-03-24 20:09:55,18.6167,84.2333,77.79,56,3,5.06
263,Itoman,JP,2021-03-24 20:09:55,26.1247,127.6694,68.0,83,75,10.36
264,Flagstaff,US,2021-03-24 20:09:56,35.1981,-111.6513,37.0,60,90,5.75
265,Tromso,NO,2021-03-24 20:09:56,69.6496,18.957,35.6,87,75,28.77
266,Bandarbeyla,SO,2021-03-24 20:09:56,9.4942,50.8122,77.49,60,0,7.36
267,Kerrville,US,2021-03-24 20:09:56,30.0474,-99.1403,70.0,82,90,10.36
268,Kaka,TM,2021-03-24 20:09:56,37.3482,59.6143,74.53,28,100,1.3
269,Yulara,AU,2021-03-24 20:06:06,-25.2406,130.9889,68.0,73,0,8.05
270,Mehamn,NO,2021-03-24 20:09:57,71.0357,27.8492,39.2,75,0,11.5
271,Adrar,MR,2021-03-24 20:09:57,20.5022,-10.0711,79.57,10,0,11.65
272,Guantanamo,CU,2021-03-24 20:09:57,20.1444,-75.2092,87.8,62,20,16.11
273,Luganville,VU,2021-03-24 20:09:57,-15.5333,167.1667,78.66,86,100,5.84
274,Kalmunai,LK,2021-03-24 20:09:58,7.4167,81.8167,78.46,85,89,5.35
275,Puyang,CN,2021-03-24 20:09:58,29.4603,119.8861,50.49,89,0,1.83
276,Axim,GH,2021-03-24 20:09:58,4.8699,-2.2405,79.84,85,98,7.31
277,Waycross,US,2021-03-24 20:09:58,31.2136,-82.354,82.99,39,40,8.05
278,Rio Grande,BR,2021-03-24 20:09:59,-32.035,-52.0986,77.0,69,75,13.8
279,Masuguru,TZ,2021-03-24 20:09:59,-11.3667,38.4167,73.13,95,100,0.34
280,Churapcha,RU,2021-03-24 20:09:59,62.0025,132.4325,-26.81,100,100,3.58
281,Dunedin,NZ,2021-03-24 20:09:59,-45.8742,170.5036,54.0,93,100,1.01
282,Kaitangata,NZ,2021-03-24 20:09:59,-46.2817,169.8464,52.27,90,67,5.99
283,Bathsheba,BB,2021-03-24 20:10:00,13.2167,-59.5167,82.4,54,40,18.41
284,Nisia Floresta,BR,2021-03-24 20:06:41,-6.0911,-35.2086,84.2,74,75,18.41
285,Kainantu,PG,2021-03-24 20:10:00,-6.2887,145.8655,60.26,97,100,2.62
286,Ilabaya,PE,2021-03-24 20:10:00,-17.4208,-70.5133,73.56,58,86,8.77
287,Mogadishu,SO,2021-03-24 20:10:00,2.0371,45.3438,79.29,75,0,14.36
288,Guerrero Negro,MX,2021-03-24 20:07:47,27.9769,-114.0611,63.5,57,0,17.47
289,Mirandela,PT,2021-03-24 20:10:01,41.4874,-7.187,48.99,20,80,1.99
290,Bucak,TR,2021-03-24 20:06:06,37.4592,30.595,48.0,69,75,20.71
291,Kem,RU,2021-03-24 20:10:01,64.9555,34.5793,37.58,88,100,16.69
292,Den Helder,NL,2021-03-24 20:06:09,52.9599,4.7593,45.0,93,75,8.05
293,Bitung,ID,2021-03-24 20:10:01,1.4451,125.1824,75.2,100,20,2.3
